1950,1,-1.62,1
1950,2,-1.32,1
1950,3,-1.07,1
1950,4,-1.11,1
1950,5,-1.37,1
1950,6,-0.74,1
1950,7,-0.44,0
1950,8,-0.42,0
1950,9,-0.41,0
1950,10,-0.32,0
1950,11,-0.6,0
1950,12,-0.88,0
1951,1,-0.92,0
1951,2,-0.66,0
1951,3,-0.04,0
1951,4,0.2,0
1951,5,0.37,2
1951,6,0.52,2
1951,7,0.87,2
1951,8,0.71,2
1951,9,1.08,2
1951,10,1.19,2
1951,11,1.19,2
1951,12,0.74,2
1952,1,0.49,0
1952,2,0.37,0
1952,3,0.24,0
1952,4,0.42,0
1952,5,0.23,0
1952,6,-0.03,0
1952,7,-0.2,0
1952,8,0.0,0
1952,9,0.21,0
1952,10,0.25,0
1952,11,-0.14,0
1952,12,0.03,0
1953,1,0.56,2
1953,2,0.61,2
1953,3,0.62,2
1953,4,0.64,2
1953,5,0.71,2
1953,6,0.9,2
1953,7,0.7,2
1953,8,0.63,2
1953,9,0.85,2
1953,10,0.86,2
1953,11,0.82,2
1953,12,0.83,2
1954,1,0.8,2
1954,2,0.64,0
1954,3,-0.04,0
1954,4,-0.74,1
1954,5,-0.45,1
1954,6,-0.42,1
1954,7,-0.62,1
1954,8,-0.88,1
1954,9,-1.03,1
1954,10,-0.78,1
1954,11,-0.5,1
1954,12,-0.91,1
1955,1,-0.56,1
1955,2,-0.57,1
1955,3,-0.72,1
1955,4,-0.78,1
1955,5,-0.91,1
1955,6,-0.67,1
1955,7,-0.58,1
1955,8,-0.8,1
1955,9,-0.87,1
1955,10,-1.6,1
1955,11,-1.81,1
1955,12,-1.61,1
1956,1,-0.99,1
1956,2,-0.74,1
1956,3,-0.54,1
1956,4,-0.6,1
1956,5,-0.46,1
1956,6,-0.48,1
1956,7,-0.58,1
1956,8,-0.65,0
1956,9,-0.43,0
1956,10,-0.29,0
1956,11,-0.54,0
1956,12,-0.47,0
1957,1,-0.29,0
1957,2,0.02,0
1957,3,0.45,2
1957,4,0.77,2
1957,5,0.94,2
1957,6,1.05,2
1957,7,1.34,2
1957,8,1.36,2
1957,9,1.27,2
1957,10,1.37,2
1957,11,1.52,2
1957,12,1.71,2
1958,1,1.98,2
1958,2,1.72,2
1958,3,1.26,2
1958,4,0.81,2
1958,5,0.71,2
1958,6,0.69,2
1958,7,0.51,0
1958,8,0.52,0
1958,9,0.25,0
1958,10,0.41,2
1958,11,0.65,2
1958,12,0.44,2
1959,1,0.74,2
1959,2,0.67,2
1959,3,0.46,0
1959,4,0.42,0
1959,5,0.1,0
1959,6,0.07,0
1959,7,-0.37,0
1959,8,-0.24,0
1959,9,-0.23,0
1959,10,0.2,0
1959,11,-0.06,0
1959,12,0.0,0
1960,1,-0.07,0
1960,2,-0.22,0
1960,3,-0.02,0
1960,4,0.03,0
1960,5,0.08,0
1960,6,-0.06,0
1960,7,0.07,0
1960,8,0.36,0
1960,9,0.28,0
1960,10,0.18,0
1960,11,0.15,0
1960,12,0.04,0
1961,1,-0.04,0
1961,2,0.1,0
1961,3,0.02,0
1961,4,0.0,0
1961,5,0.26,0
1961,6,0.44,0
1961,7,0.11,0
1961,8,-0.12,0
1961,9,-0.38,0
1961,10,-0.38,0
1961,11,-0.01,0
1961,12,-0.16,0
1962,1,-0.3,0
1962,2,-0.26,0
1962,3,-0.11,0
1962,4,-0.24,0
1962,5,-0.44,0
1962,6,-0.14,0
1962,7,0.0,0
1962,8,0.02,0
1962,9,-0.23,0
1962,10,-0.12,0
1962,11,-0.32,0
1962,12,-0.47,0
1963,1,-0.5,0
1963,2,-0.23,0
1963,3,0.26,0
1963,4,0.41,0
1963,5,0.14,2
1963,6,0.39,2
1963,7,1.02,2
1963,8,1.17,2
1963,9,1.23,2
1963,10,1.26,2
1963,11,1.39,2
1963,12,1.47,2
1964,1,1.06,2
1964,2,0.68,0
1964,3,0.1,0
1964,4,-0.42,1
1964,5,-0.67,1
1964,6,-0.64,1
1964,7,-0.43,1
1964,8,-0.72,1
1964,9,-0.84,1
1964,10,-0.73,1
1964,11,-0.82,1
1964,12,-0.92,1
1965,1,-0.61,0
1965,2,-0.25,0
1965,3,0.03,0
1965,4,0.01,2
1965,5,0.5,2
1965,6,0.86,2
1965,7,1.14,2
1965,8,1.66,2
1965,9,1.84,2
1965,10,2.06,2
1965,11,2.03,2
1965,12,1.81,2
1966,1,1.31,2
1966,2,1.0,2
1966,3,1.19,2
1966,4,0.76,0
1966,5,0.02,0
1966,6,0.29,0
1966,7,0.42,0
1966,8,0.02,0
