28.3637,28.249,28.1349,28.0322,28.003,27.9533,27.8953,27.8249,27.7408,27.703,27.6785,27.6278,27.558,27.4746,27.4117,27.3257,27.176,27.0473,26.8426,26.6447,26.5121,26.396,26.3061,26.2567,26.2735,26.425,26.6181,26.7375,26.8117,26.9199,27.0289,27.171,27.266,27.2832,27.1916,27.0242,26.865,26.6982,26.6018,26.5949,26.6362,26.5425
28.3637,28.249,28.1349,28.0322,28.003,27.9533,27.8953,27.8249,27.7408,27.703,27.6785,27.6278,27.558,27.4746,27.4117,27.3257,27.176,27.0473,26.8426,26.6447,26.5121,26.396,26.3061,26.2567,26.2735,26.425,26.6181,26.7375,26.8117,26.9199,27.0289,27.171,27.266,27.2832,27.1916,27.0242,26.865,26.6982,26.6018,26.5949,26.6362,26.5425
28.5913,28.4918,28.3971,28.3124,28.2687,28.1971,28.1303,28.0522,27.9606,27.941,27.9424,27.8973,27.8399,27.768,27.7051,27.6391,27.545,27.4301,27.2521,27.0902,26.9723,26.8482,26.7711,26.6958,26.7105,26.822,26.9623,27.0819,27.126,27.1896,27.2473,27.3058,27.3449,27.3072,27.1481,26.9408,26.7721,26.6638,26.6624,26.6511,26.6565,26.6659
28.6166,28.5188,28.4262,28.3436,28.2982,28.2241,28.1564,28.0775,27.985,27.9674,27.9717,27.9272,27.8712,27.8006,27.7377,27.6739,27.586,27.4727,27.2976,27.1397,27.0235,26.8984,26.8227,26.7446,26.759,26.8661,27.0005,27.1201,27.1609,27.2196,27.2715,27.3208,27.3536,27.3099,27.1433,26.9315,26.7618,26.66,26.6691,26.6573,26.6588,26.6796
28.8245,28.73,28.6612,28.5973,28.5189,28.424,28.3485,28.2575,28.1716,28.1384,28.1405,28.0962,28.0594,27.9976,27.9297,27.8587,27.8143,27.7254,27.5582,27.4045,27.2876,27.1704,27.0943,27.0163,27.034,27.0915,27.1382,27.2261,27.2688,27.3133,27.3278,27.3585,27.3775,27.3025,27.1377,26.9603,26.8195,26.7664,26.8026,26.7904,26.8321,26.9896
28.8764,28.7828,28.72,28.6607,28.5741,28.474,28.3965,28.3025,28.2183,28.1811,28.1827,28.1385,28.1065,28.0468,27.9777,27.9049,27.8713,27.7886,27.6234,27.4707,27.3537,27.2384,27.1622,27.0843,27.1028,27.1478,27.1727,27.2525,27.2957,27.3367,27.3418,27.3679,27.3835,27.3007,27.1363,26.9675,26.8339,26.793,26.836,26.8237,26.8755,27.0671
29.0346,28.9156,28.8583,28.7924,28.7041,28.6075,28.5203,28.4014,28.3223,28.2661,28.2376,28.1797,28.1485,28.0816,28.0187,27.9638,27.9415,27.8611,27.6947,27.5331,27.4118,27.296,27.1941,27.0944,27.1038,27.1305,27.137,27.1834,27.2457,27.2923,27.2945,27.322,27.3298,27.2631,27.136,27.0061,26.8975,26.8946,26.9625,26.9789,27.0744,27.3228
29.1024,28.9725,28.9175,28.8489,28.7598,28.6648,28.5733,28.4438,28.3669,28.3025,28.2611,28.1974,28.1665,28.0965,28.0362,27.9891,27.9715,27.8921,27.7252,27.5599,27.4368,27.3207,27.2078,27.0988,27.1042,27.1231,27.1218,27.1538,27.2243,27.2733,27.2742,27.3023,27.3067,27.247,27.1358,27.0227,26.9248,26.9381,27.0167,27.0454,27.1596,27.4324
29.1768,29.0469,28.9873,28.9147,28.8227,28.7267,28.6191,28.4825,28.386,28.2976,28.2264,28.1641,28.109,28.0282,27.9612,27.9109,27.8781,27.8045,27.645,27.4722,27.332,27.2026,27.0699,26.9721,26.973,26.9643,26.9597,27.0095,27.0632,27.1208,27.1506,27.2057,27.1956,27.1312,27.0367,26.9772,26.9061,26.9099,26.9976,27.0897,27.2585,27.5351
29.2263,29.0965,29.0339,28.9586,28.8647,28.7679,28.6496,28.5083,28.3988,28.2943,28.2033,28.142,28.0707,27.9827,27.9112,27.8587,27.8159,27.7461,27.5915,27.4137,27.2621,27.124,26.978,26.8877,26.8855,26.8584,26.8517,26.9134,26.9558,27.0192,27.0683,27.1413,27.1215,27.054,26.9706,26.947,26.8936,26.891,26.9849,27.1192,27.3244,27.6035
